dataset,signature_id,signature_name,time_window,paired_n,spearman_rho,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_se_fisher_z,fisher_z_se_source,median_absolute_rank_displacement_pp,q1_absolute_rank_displacement_pp,q3_absolute_rank_displacement_pp,bootstrap_ci95_lower_median_rank_displacement_pp,bootstrap_ci95_upper_median_rank_displacement_pp,bootstrap_replicates,valid_bootstrap_replicates,seed,primary_independent_eligible
GSE110487,SIG001,Sepsis MetaScore,T48,31,0.7544354838709678,0.5317310688342657,0.8675074038155912,0.1868582334667782,bootstrap,13.333333333333334,8.333333333333332,20,6.666666666666671,20.000000000000004,2000,2000,1269586029,True
GSE110487,SIG002,SeptiCyte LAB,T48,31,0.4181451612903226,0.0766841790973946,0.6865604885010178,0.1938823351017276,bootstrap,23.33333333333333,11.666666666666666,31.66666666666667,10,33.33333333333333,2000,2000,1450031237,True
GSE110487,SIG003,FAIM3:PLAC8,T48,31,0.5641129032258064,0.2174863387978142,0.7819414039958238,0.2104662116377156,bootstrap,13.333333333333345,6.666666666666671,33.333333333333336,6.666666666666671,26.66666666666667,2000,2000,164208282,True
GSE110487,SIG004,sNIP,T48,31,0.5479838709677419,0.200490224590903,0.7749962430644992,0.209211633583834,bootstrap,20.000000000000007,13.333333333333334,29.999999999999993,10,30.000000000000007,2000,2000,2297410813,True
GSE110487,SIG022,Bacterial/Viral MetaScore,T48,31,0.7524193548387098,0.4756013512536539,0.8874378631610854,0.2279099410853013,bootstrap,10.000000000000004,6.66666666666667,26.666666666666668,6.666666666666657,23.33333333333333,2000,2000,3834423379,True
GSE110487,SIG023,Herberg two-gene DRS,T48,31,0.6471774193548387,0.3315554397310981,0.8445658773527626,0.2302723479732678,bootstrap,13.333333333333336,3.3333333333333384,30,6.666666666666657,26.666666666666664,2000,2000,2082929077,True
GSE110487,SIG033,Lin seven-gene mortality score,T48,31,0.505241935483871,0.1630091290605585,0.7510134055539578,0.2098939692999359,bootstrap,16.666666666666664,13.333333333333329,26.666666666666668,10,26.66666666666667,2000,2000,2869340581,True
GSE110487,SIG034,Severe-or-Mild score,T48,31,0.6524193548387097,0.3747290910701514,0.8252258339688927,0.1999981356698147,bootstrap,20,8.333333333333336,31.66666666666667,6.666666666666671,30,2000,2000,4094492089,True
GSE236713,SIG001,Sepsis MetaScore,T24,93,0.7408015278565245,0.5946171360614695,0.8466773615940094,0.1456461916237579,bootstrap,9.782608695652174,4.3478260869565215,19.565217391304344,6.5217391304347885,14.130434782608694,2000,2000,2813734491,True
GSE236713,SIG002,SeptiCyte LAB,T24,93,0.8111217212258661,0.7077218177442913,0.8846529850742755,0.1311579863770573,bootstrap,8.695652173913045,3.2608695652173925,18.478260869565226,6.521739130434781,14.130434782608688,2000,2000,3143266426,True
GSE236713,SIG003,FAIM3:PLAC8,T24,93,0.5590403151204081,0.3817846562334885,0.7058097745357076,0.1195602128897469,bootstrap,14.130434782608688,6.521739130434785,29.34782608695653,10.869565217391298,20.65217391304348,2000,2000,3387553237,True
GSE236713,SIG004,sNIP,T24,93,0.7570797648533316,0.6349357959543745,0.8342240840755074,0.115606448990936,bootstrap,13.043478260869566,4.34782608695652,20.65217391304348,8.695652173913043,16.304347826086957,2000,2000,608349837,True
GSE236713,SIG022,Bacterial/Viral MetaScore,T24,93,0.7430843603592848,0.595426642178263,0.8530506262208072,0.1488321356614751,bootstrap,8.695652173913047,4.347826086956516,18.47826086956522,6.521739130434781,14.130434782608692,2000,2000,2998505704,True
GSE236713,SIG023,Herberg two-gene DRS,T24,93,0.8114947330727222,0.6964086069996599,0.8884906622469693,0.1439200689747363,bootstrap,7.608695652173914,4.3478260869565215,18.478260869565215,5.434782608695656,13.043478260869565,2000,2000,2882760911,True
GSE236713,SIG033,Lin seven-gene mortality score,T24,93,0.6953090030139356,0.5541438490170328,0.7967369346177496,0.1175598435961786,bootstrap,13.043478260869575,5.434782608695656,23.913043478260867,8.695652173913047,18.47826086956522,2000,2000,416161387,True
GSE236713,SIG034,Severe-or-Mild score,T24,93,0.6519948673569872,0.4796098925412472,0.7844222475369386,0.1368260079443913,bootstrap,10.869565217391298,5.4347826086956506,21.7391304347826,7.608695652173907,15.217391304347828,2000,2000,3349556591,True
GSE54514,SIG001,Sepsis MetaScore,T24,31,0.1092741935483871,-0.2740408409197935,0.4967024641024751,0.2086806326820857,bootstrap,23.333333333333336,8.333333333333329,40,10,36.666666666666664,2000,2000,2700750610,True
GSE54514,SIG001,Sepsis MetaScore,T48,28,-0.016967706622879,-0.4146555164230542,0.3562663782459224,0.2043511846819405,bootstrap,38.888888888888886,13.888888888888893,56.48148148148148,18.518518518518515,51.85185185185185,2000,2000,985562136,True
GSE54514,SIG002,SeptiCyte LAB,T24,31,0.3169354838709677,-0.041142364228641,0.6299973598878967,0.1981654112464666,bootstrap,16.666666666666664,6.66666666666667,35,10,33.33333333333333,2000,2000,2406621573,False
GSE54514,SIG002,SeptiCyte LAB,T48,28,0.003831417624521,-0.3872446793526503,0.4051303688999468,0.2141371754463351,bootstrap,29.629629629629633,17.59259259259259,44.44444444444444,14.814814814814817,42.592592592592595,2000,2000,2983382356,False
GSE54514,SIG003,FAIM3:PLAC8,T24,31,0.2931451612903226,-0.0448800189750882,0.582204931285367,0.1868528201439538,bootstrap,26.666666666666664,10.000000000000009,43.333333333333336,13.333333333333329,40,2000,2000,3719286446,False
