dataset,signature_id,signature_name,contrast,endpoint,endpoint_definition,analysis_role,contrast_role,independence_status,favorable_group,adverse_group,favorable_n,adverse_n,patient_n,observation_n,interaction_beta_adverse_minus_favorable,interaction_se,ci95_lower,ci95_upper,p_value,mixedlm_converged,mixedlm_method,mixedlm_warning,primary_inference_method,primary_adjustment,paired_change_hc3_beta,paired_change_hc3_se,paired_change_hc3_ci95_lower,paired_change_hc3_ci95_upper,paired_change_hc3_p,primary_beta_adverse_minus_favorable,primary_se_hc3,primary_ci95_lower,primary_ci95_upper,primary_p_value,bootstrap_se,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_replicates,seed,ancova_adverse_beta,ancova_adverse_se_hc3,ancova_adverse_p_hc3,source_provenance,holm_adjusted_p_primary_four
GSE54514,SIG001,Sepsis MetaScore,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,24,7,31,62,-0.5723848881991375,0.5426201940972518,-1.6359009259138846,0.4911311495156097,0.2914922667132616,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.5723848881991365,0.4926738770226826,-1.5380079432873102,0.3932381668890372,0.2453197011381973,-0.5723848881991365,0.4926738770226826,-1.5380079432873102,0.3932381668890372,0.2453197011381973,0.4311454617162698,-1.4510870101408837,0.213147433526358,2000,2592151765,-0.5145041835012004,0.3957396302061863,0.1935640216599108,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",0.7635601574513236
GSE54514,SIG002,SeptiCyte LAB,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,OVERLAP_FLAGGED_EXPLORATORY,Survivor,Non-survivor,24,7,31,62,0.3214829114535061,0.4422087864853518,-0.5452303837049459,1.1881962066119582,0.4672299403251505,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.3214829114535069,0.4558352539343261,-0.5719377691414423,1.214903592048456,0.4806477108326157,0.3214829114535069,0.4558352539343261,-0.5719377691414423,1.214903592048456,0.4806477108326157,0.4054604769330401,-0.4409561391130997,1.136833920976981,2000,3391298466,0.0626125199520147,0.3768261597786899,0.8680329475088703,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",0.7635601574513236
GSE54514,SIG003,FAIM3:PLAC8,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,OVERLAP_FLAGGED_EXPLORATORY,Survivor,Non-survivor,24,7,31,62,-0.719556694419315,0.4432986635918254,-1.5884061094540305,0.1492927206154001,0.1045494039062974,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.7195566944193149,0.5501405422307,-1.7978123436268234,0.3586989547881937,0.1908900393628309,-0.7195566944193149,0.5501405422307,-1.7978123436268234,0.3586989547881937,0.1908900393628309,0.470625972725586,-1.5975402728234558,0.2345294905905332,2000,3587041238,-0.519198868343011,0.3144210218858196,0.0986802955509893,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",0.7635601574513236
GSE54514,SIG004,sNIP,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,OVERLAP_FLAGGED_EXPLORATORY,Survivor,Non-survivor,24,7,31,62,0.5206482762371714,0.5208249269896913,-0.5001498229133268,1.5414463753876697,0.3174746765010018,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.5206482762371727,0.5526693886697196,-0.5625638209132466,1.603860373387592,0.3461614108105549,0.5206482762371727,0.5526693886697196,-0.5625638209132466,1.603860373387592,0.3461614108105549,0.4929358036798053,-0.3962740949009197,1.530382096193377,2000,2233886500,0.7761397347453436,0.2551149447090413,0.0023476695807218,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",0.7635601574513236
GSE54514,SIG022,Bacterial/Viral MetaScore,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,24,7,31,62,-0.117998920005285,0.4064284781503363,-0.9145840994713688,0.6785862594607984,0.7715627738193958,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.1179989200052852,0.452324460130023,-1.004538571186654,0.7685407311760835,0.7941909906169742,-0.1179989200052852,0.452324460130023,-1.004538571186654,0.7685407311760835,0.7941909906169742,0.3911279773521638,-0.90257113765858,0.6390574421449897,2000,2360996971,1.016196891430475,0.462557056618071,0.0280267713381051,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG023,Herberg two-gene DRS,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,24,7,31,62,-0.1415021011548328,0.4706284296648905,-1.06391687339866,0.7809126710889946,0.7636689811495255,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.141502101154832,0.5827136600265441,-1.283599888106376,1.0005956857967118,0.808134776976886,-0.141502101154832,0.5827136600265441,-1.283599888106376,1.0005956857967118,0.808134776976886,0.5044779644833589,-1.0707607228962897,0.8525022188462058,2000,709023732,-0.5657051909494129,0.5554648542280158,0.3084709835876669,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG033,Lin seven-gene mortality score,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,24,7,31,62,-0.8618450939665108,0.4858143794461136,-1.8140237808525697,0.0903335929195477,0.0760596145575366,True,lbfgs,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,paired-change contrast with HC3 covariance,none,-0.861845093966523,0.5838262825632293,-2.0061235810183575,0.2824333930853113,0.1398898713893861,-0.861845093966523,0.5838262825632293,-2.0061235810183575,0.2824333930853113,0.1398898713893861,0.5055078527067669,-1.8208536688348216,0.113901046116972,2000,2419694225,-0.0531264321260707,0.2827483027208198,0.8509605155545159,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG034,Severe-or-Mild score,T24,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,secondary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,24,7,31,62,-0.4079867927539491,0.5247431908958695,-1.4364645480424798,0.6204909625345816,0.4368650012493774,True,lbfgs,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,paired-change contrast with HC3 covariance,none,-0.4079867927539509,0.5780556524160654,-1.5409550525492428,0.724981467041341,0.4803177800317788,-0.4079867927539509,0.5780556524160654,-1.5409550525492428,0.724981467041341,0.4803177800317788,0.5218872728448556,-1.4056750728836438,0.660586849328356,2000,1100463883,-0.6924257336906771,0.3537498024459554,0.0503018299414224,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",
GSE54514,SIG001,Sepsis MetaScore,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,PRIMARY_INDEPENDENT,Survivor,Non-survivor,21,7,28,56,0.4627250708470621,0.5555018286548569,-0.6260385066625975,1.5514886483567216,0.4048528031264969,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.4627250708470615,0.5362312068070089,-0.5882687818811252,1.5137189235752484,0.3881810045686563,0.4627250708470615,0.5362312068070089,-0.5882687818811252,1.5137189235752484,0.3881810045686563,0.4715990566001782,-0.4675808235076648,1.3511079880444563,2000,2317334653,0.5293402343183572,0.3338877568413723,0.1128791639698693,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",1.0
GSE54514,SIG002,SeptiCyte LAB,T48,source-defined survival status,Survivor or non-survivor label deposited with GSE54514; analyzed cohort-specifically because the public GEO record does not state a mortality horizon.,secondary source-defined survival context,primary source-defined contrast,OVERLAP_FLAGGED_EXPLORATORY,Survivor,Non-survivor,21,7,28,56,0.6599138042940647,0.5236376077994396,-0.366397047943547,1.6862246565316763,0.2075795289714331,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.6599138042940615,0.4793392290220856,-0.2795738209664229,1.599401429554546,0.1686001872645274,0.6599138042940615,0.4793392290220856,-0.2795738209664229,1.599401429554546,0.1686001872645274,0.4240280528059346,-0.1776958933431211,1.4781290235719524,2000,2929658939,0.3142584811120894,0.276931074651898,0.2564635185624706,"GEO GSE54514; Parnell et al., Shock 2013, doi:10.1097/SHK.0b013e31829ee604",0.6744007490581096
