dataset,signature_id,signature_name,display_time,clinical_status,n,mean_score_z,se_score_z,bootstrap_ci95_lower,bootstrap_ci95_upper,endpoint,analysis_role,seed
GSE54514,SIG001,Sepsis MetaScore,Baseline,Non-survivor,9,0.1016260514127062,0.3137231727549317,-0.4625496762169105,0.699679854172351,source-defined survival status,secondary source-defined survival context,1165274969
GSE54514,SIG001,Sepsis MetaScore,T24,Non-survivor,7,-0.7547467907709129,0.3279861795657582,-1.2726519766683562,-0.1382482523201513,source-defined survival status,secondary source-defined survival context,2947683385
GSE54514,SIG001,Sepsis MetaScore,T48,Non-survivor,7,-0.4475219469357612,0.2419763471983094,-0.87117354699159,0.0525803512283584,source-defined survival status,secondary source-defined survival context,3691060261
GSE54514,SIG001,Sepsis MetaScore,T72,Non-survivor,5,-0.5803506082498492,0.4629248293835528,-1.3062703753113667,0.2789395965085586,source-defined survival status,secondary source-defined survival context,2883123460
GSE54514,SIG001,Sepsis MetaScore,Day 5,Non-survivor,3,-1.1911437220607102,0.2360320274568105,-1.561589128440336,-0.7525221147191763,source-defined survival status,secondary source-defined survival context,114116776
GSE54514,SIG001,Sepsis MetaScore,Baseline,Survivor,26,-0.0351782485659365,0.2030099413090809,-0.4229278203502269,0.3625233807040545,source-defined survival status,secondary source-defined survival context,3896571704
GSE54514,SIG001,Sepsis MetaScore,T24,Survivor,24,-0.2480341034446495,0.1819356237650921,-0.6094617895117294,0.1151621044305333,source-defined survival status,secondary source-defined survival context,4089469825
GSE54514,SIG001,Sepsis MetaScore,T48,Survivor,21,-0.9817928958247772,0.1933526653031839,-1.3547949327318785,-0.602932095740256,source-defined survival status,secondary source-defined survival context,725709675
GSE54514,SIG001,Sepsis MetaScore,T72,Survivor,14,-0.4310049759523788,0.2787984004697352,-0.9767911031011672,0.0822667935276225,source-defined survival status,secondary source-defined survival context,3335804123
GSE54514,SIG001,Sepsis MetaScore,Day 5,Survivor,11,-1.0347220676120374,0.2268550150714579,-1.4188767916113925,-0.5719028172871126,source-defined survival status,secondary source-defined survival context,3331162014
GSE54514,SIG002,SeptiCyte LAB,Baseline,Non-survivor,9,-0.3220791341177959,0.3231223600804094,-0.9236315102554088,0.2583795093793574,source-defined survival status,secondary source-defined survival context,1763299431
GSE54514,SIG002,SeptiCyte LAB,T24,Non-survivor,7,-0.076891580607405,0.3393688943979063,-0.7039218034458105,0.5296548583319112,source-defined survival status,secondary source-defined survival context,3596905648
GSE54514,SIG002,SeptiCyte LAB,T48,Non-survivor,7,0.2397135654637106,0.1704192358808544,-0.0677002235231138,0.5489431315869034,source-defined survival status,secondary source-defined survival context,3211325406
GSE54514,SIG002,SeptiCyte LAB,T72,Non-survivor,5,0.3765787629639068,0.249294032422147,0.0430678355523973,0.8656616460800205,source-defined survival status,secondary source-defined survival context,2687315718
GSE54514,SIG002,SeptiCyte LAB,Day 5,Non-survivor,3,-0.1174299255799355,0.2076555131271284,-0.5123737652325471,0.1912937764191163,source-defined survival status,secondary source-defined survival context,31199699
GSE54514,SIG002,SeptiCyte LAB,Baseline,Survivor,26,0.1114889310407756,0.1969999245095136,-0.2602455292546405,0.4939385001209263,source-defined survival status,secondary source-defined survival context,1681037148
GSE54514,SIG002,SeptiCyte LAB,T24,Survivor,24,-0.0317746787636197,0.1622624493867578,-0.3647514961527147,0.2738668016675699,source-defined survival status,secondary source-defined survival context,1339356123
GSE54514,SIG002,SeptiCyte LAB,T48,Survivor,21,-0.0411870854128478,0.1898688620726748,-0.3827186520097775,0.3473822495531024,source-defined survival status,secondary source-defined survival context,2729523762
GSE54514,SIG002,SeptiCyte LAB,T72,Survivor,14,0.1581716535265225,0.2737642292238914,-0.3313067423877945,0.6602669179520555,source-defined survival status,secondary source-defined survival context,1622980577
GSE54514,SIG002,SeptiCyte LAB,Day 5,Survivor,11,-0.3777820978352533,0.1065467200478427,-0.5534821700807016,-0.1616811509328012,source-defined survival status,secondary source-defined survival context,4193192453
GSE54514,SIG003,FAIM3:PLAC8,Baseline,Non-survivor,9,0.1174105269277826,0.4262220768601836,-0.6786015448550741,0.871537735106486,source-defined survival status,secondary source-defined survival context,1775478915
GSE54514,SIG003,FAIM3:PLAC8,T24,Non-survivor,7,-0.7216225856752058,0.2038477473423986,-1.1043581111697638,-0.3581171389864147,source-defined survival status,secondary source-defined survival context,1479696446
GSE54514,SIG003,FAIM3:PLAC8,T48,Non-survivor,7,-0.2670631833695545,0.0600000371378778,-0.3795215339023938,-0.1607742858712384,source-defined survival status,secondary source-defined survival context,3618117058
GSE54514,SIG003,FAIM3:PLAC8,T72,Non-survivor,5,0.4019291707610494,0.3380545585753376,-0.1328897204793721,0.9647358093011168,source-defined survival status,secondary source-defined survival context,922903765
GSE54514,SIG003,FAIM3:PLAC8,Day 5,Non-survivor,3,-0.0192335374624519,0.1060316321612507,-0.2122964862706845,0.1532791478061846,source-defined survival status,secondary source-defined survival context,1028947930
GSE54514,SIG003,FAIM3:PLAC8,Baseline,Survivor,26,-0.0406421054750019,0.1786835965116026,-0.3923166942698968,0.3067480167964802,source-defined survival status,secondary source-defined survival context,2920764410
GSE54514,SIG003,FAIM3:PLAC8,T24,Survivor,24,-0.2623666761449497,0.1580501326319036,-0.5416204779505985,0.0570089087068506,source-defined survival status,secondary source-defined survival context,3137652704
GSE54514,SIG003,FAIM3:PLAC8,T48,Survivor,21,-0.1578220695113712,0.1551822622555252,-0.4409809156553059,0.1538862171146953,source-defined survival status,secondary source-defined survival context,455566315
GSE54514,SIG003,FAIM3:PLAC8,T72,Survivor,14,-0.4257456033894912,0.2972199165345526,-0.9846988912227423,0.1518581864304339,source-defined survival status,secondary source-defined survival context,48626684
GSE54514,SIG003,FAIM3:PLAC8,Day 5,Survivor,11,-0.5951110654322315,0.2559498204264506,-1.044285927767309,-0.086639056565257,source-defined survival status,secondary source-defined survival context,1095849333
GSE54514,SIG004,sNIP,Baseline,Non-survivor,9,0.1239362443844253,0.3714763012611343,-0.5762186911424532,0.7524788251180298,source-defined survival status,secondary source-defined survival context,3141072354
GSE54514,SIG004,sNIP,T24,Non-survivor,7,0.8173970204835346,0.1547681861313029,0.5286965785112278,1.08915779105164,source-defined survival status,secondary source-defined survival context,3469720488
GSE54514,SIG004,sNIP,T48,Non-survivor,7,0.3340772305428926,0.1754135142174715,-0.0225683817161325,0.6037580702690353,source-defined survival status,secondary source-defined survival context,3779519282
GSE54514,SIG004,sNIP,T72,Non-survivor,5,0.3262996768445105,0.2538507764474012,-0.0883939718774453,0.7407148120476256,source-defined survival status,secondary source-defined survival context,3394363703
GSE54514,SIG004,sNIP,Day 5,Non-survivor,3,0.4818654109548877,0.0910166068368282,0.3025694603713741,0.5987492034463358,source-defined survival status,secondary source-defined survival context,2488142723
GSE54514,SIG004,sNIP,Baseline,Survivor,26,-0.0429010076715319,0.1916659397746622,-0.4079922174575692,0.3099377711911658,source-defined survival status,secondary source-defined survival context,380863218
GSE54514,SIG004,sNIP,T24,Survivor,24,0.0251801980154816,0.1630982961169488,-0.2797500007159357,0.3490386565597484,source-defined survival status,secondary source-defined survival context,271689189
GSE54514,SIG004,sNIP,T48,Survivor,21,0.2106422906563617,0.2080311167030449,-0.1859638298087332,0.5763952573378255,source-defined survival status,secondary source-defined survival context,3746211974
GSE54514,SIG004,sNIP,T72,Survivor,14,-0.161166976509413,0.1988422698038442,-0.5486057570470682,0.216360431404145,source-defined survival status,secondary source-defined survival context,2296636720
GSE54514,SIG004,sNIP,Day 5,Survivor,11,0.570515386710385,0.2050174617874135,0.14604436765344,0.9173004032569616,source-defined survival status,secondary source-defined survival context,3414640143
GSE95233,SIG001,Sepsis MetaScore,Admission,Survivor,34,-0.0165255818197696,0.157702538074081,-0.3334378535430382,0.2691117172247979,28-day survival,primary clinical-course anchor,2555487880
GSE95233,SIG001,Sepsis MetaScore,D2/D3,Survivor,34,-1.1623163169000708,0.1980962391169962,-1.5455109509508569,-0.7547812196903527,28-day survival,primary clinical-course anchor,4281060661
GSE95233,SIG001,Sepsis MetaScore,Admission,Non-survivor,17,0.0330511636395382,0.2848367874185674,-0.5190517382705113,0.5831081581985682,28-day survival,primary clinical-course anchor,3818646966
GSE95233,SIG001,Sepsis MetaScore,D2/D3,Non-survivor,17,-0.0300954965168847,0.2778850759271529,-0.5463209595467841,0.4881454880710651,28-day survival,primary clinical-course anchor,1445138977
GSE95233,SIG002,SeptiCyte LAB,Admission,Survivor,34,0.0515893048203257,0.1642205762972275,-0.2479660800060853,0.3918518537127985,28-day survival,primary clinical-course anchor,492547234
GSE95233,SIG002,SeptiCyte LAB,D2/D3,Survivor,34,-0.7187996539030324,0.1813447592525031,-1.0798728860509728,-0.3740855094671338,28-day survival,primary clinical-course anchor,3511231200
GSE95233,SIG002,SeptiCyte LAB,Admission,Non-survivor,17,-0.1031786096406511,0.2675459639853023,-0.5858233093520919,0.3828922206183608,28-day survival,primary clinical-course anchor,1900822560
GSE95233,SIG002,SeptiCyte LAB,D2/D3,Non-survivor,17,-0.3669883678819396,0.2857708974453377,-0.9331270964426898,0.1823057675703286,28-day survival,primary clinical-course anchor,3089994587
GSE95233,SIG003,FAIM3:PLAC8,Admission,Survivor,34,0.0539123175412816,0.1705296229125647,-0.3087152184673927,0.3496809472898731,28-day survival,primary clinical-course anchor,1716213346
GSE95233,SIG003,FAIM3:PLAC8,D2/D3,Survivor,34,-1.1612669300527612,0.2358776726636813,-1.626948945842764,-0.7069830530367167,28-day survival,primary clinical-course anchor,2584169936
GSE95233,SIG003,FAIM3:PLAC8,Admission,Non-survivor,17,-0.1078246350825612,0.25055363591279,-0.5800645932445451,0.3552357166263658,28-day survival,primary clinical-course anchor,351732244
GSE95233,SIG003,FAIM3:PLAC8,D2/D3,Non-survivor,17,-0.1328882401570555,0.2498030577015417,-0.627840026213105,0.3188901193398281,28-day survival,primary clinical-course anchor,3757935019
GSE95233,SIG004,sNIP,Admission,Survivor,34,-0.0428043096385719,0.1782174659131519,-0.3705985714480656,0.3029404092089056,28-day survival,primary clinical-course anchor,1576803611
GSE95233,SIG004,sNIP,D2/D3,Survivor,34,0.6775168275668901,0.1895639133229386,0.3275145690935375,1.0634440544514296,28-day survival,primary clinical-course anchor,3619706544
GSE95233,SIG004,sNIP,Admission,Non-survivor,17,0.085608619277145,0.2282989428245705,-0.3552238623503789,0.5296865425128043,28-day survival,primary clinical-course anchor,1953112331
GSE95233,SIG004,sNIP,D2/D3,Non-survivor,17,-0.4467606403520769,0.3020055723138692,-1.0135052810915517,0.1063632681957572,28-day survival,primary clinical-course anchor,3952321912
GSE110487,SIG001,Sepsis MetaScore,Baseline,NR,14,0.3583939255605666,0.248920027388479,-0.1119039404202747,0.8204912203801099,source-defined organ-function course group,primary clinical-course anchor,255155710
GSE110487,SIG001,Sepsis MetaScore,T48,NR,14,-1.1999991829745171,0.2142275505382259,-1.5790848428647954,-0.7787822023868248,source-defined organ-function course group,primary clinical-course anchor,1785674545
GSE110487,SIG001,Sepsis MetaScore,Baseline,R,17,-0.2951479386969383,0.2382836078552454,-0.7716412698390506,0.1648201083308365,source-defined organ-function course group,primary clinical-course anchor,834295532
GSE110487,SIG001,Sepsis MetaScore,T48,R,17,-1.4020327151364818,0.2342221510172473,-1.8397486951821085,-0.9450798574396396,source-defined organ-function course group,primary clinical-course anchor,2618744402
GSE110487,SIG002,SeptiCyte LAB,Baseline,NR,14,0.1860160662887695,0.2479266563286114,-0.2792891787126977,0.6579058653474694,source-defined organ-function course group,primary clinical-course anchor,4273986304
GSE110487,SIG002,SeptiCyte LAB,T48,NR,14,-0.5969469703417289,0.2716728431421217,-1.0932489902422342,-0.0886239690442033,source-defined organ-function course group,primary clinical-course anchor,1588304743
GSE110487,SIG002,SeptiCyte LAB,Baseline,R,17,-0.1531897016495754,0.2567437766605804,-0.6606716797334468,0.2748088728393933,source-defined organ-function course group,primary clinical-course anchor,2740325922
GSE110487,SIG002,SeptiCyte LAB,T48,R,17,-0.6450900553703484,0.1675017780787218,-0.9810750252966012,-0.3365160296392763,source-defined organ-function course group,primary clinical-course anchor,1068166652
GSE110487,SIG003,FAIM3:PLAC8,Baseline,NR,14,0.1276563968227579,0.1742076516004884,-0.2083953897188729,0.4595350204334237,source-defined organ-function course group,primary clinical-course anchor,1562673370
GSE110487,SIG003,FAIM3:PLAC8,T48,NR,14,-0.7285849253701808,0.2592148494370166,-1.199492154060694,-0.2532357684435386,source-defined organ-function course group,primary clinical-course anchor,3727672971
GSE110487,SIG003,FAIM3:PLAC8,Baseline,R,17,-0.1051287973834482,0.2974189030765528,-0.6719256905819622,0.4462512502248665,source-defined organ-function course group,primary clinical-course anchor,4131611960
GSE110487,SIG003,FAIM3:PLAC8,T48,R,17,-0.8348439198870582,0.1989458794061375,-1.210951761489824,-0.4592811861938339,source-defined organ-function course group,primary clinical-course anchor,4237578751
GSE110487,SIG004,sNIP,Baseline,NR,14,-0.1045001283105767,0.2005676363231822,-0.5003296603282571,0.2675370536277553,source-defined organ-function course group,primary clinical-course anchor,4102528536
GSE110487,SIG004,sNIP,T48,NR,14,0.8042879227247433,0.2116829201761202,0.3873681840460993,1.2279769110610756,source-defined organ-function course group,primary clinical-course anchor,2182686465
GSE110487,SIG004,sNIP,Baseline,R,17,0.0860589291969455,0.2869709274436948,-0.3944618167212608,0.6719932841699393,source-defined organ-function course group,primary clinical-course anchor,3677288041
GSE110487,SIG004,sNIP,T48,R,17,1.0375664564829914,0.186561917259638,0.7063180642146945,1.4256879280251613,source-defined organ-function course group,primary clinical-course anchor,983398422
GSE57065,SIG001,Sepsis MetaScore,Baseline,SAPSII-High,14,-0.0825845221761561,0.2540276158096309,-0.5773483510977613,0.3957964672811946,baseline SAPS II severity category,secondary severity context,304020566
GSE57065,SIG001,Sepsis MetaScore,T24,SAPSII-High,14,-0.1462735040085876,0.3565742082092256,-0.8466454798571664,0.5024655099111036,baseline SAPS II severity category,secondary severity context,902318020
GSE57065,SIG001,Sepsis MetaScore,T48,SAPSII-High,12,-0.2860198527789421,0.42679326728455,-1.0534428276100605,0.4999347622801862,baseline SAPS II severity category,secondary severity context,3287948107
GSE57065,SIG001,Sepsis MetaScore,Baseline,SAPSII-Low,14,0.0825845221761556,0.2877018538541203,-0.4836247421426467,0.6332151834596175,baseline SAPS II severity category,secondary severity context,1932401017
GSE57065,SIG001,Sepsis MetaScore,T24,SAPSII-Low,14,-0.7306767573192968,0.2033487170740082,-1.1134346867471894,-0.37636521821325,baseline SAPS II severity category,secondary severity context,4272721685
GSE57065,SIG001,Sepsis MetaScore,T48,SAPSII-Low,14,-1.0410014833929584,0.2178639687576837,-1.4427601095470723,-0.6407482113148164,baseline SAPS II severity category,secondary severity context,1205093874
GSE57065,SIG002,SeptiCyte LAB,Baseline,SAPSII-High,14,-0.3864184066926427,0.2405549914255449,-0.8558205964401013,0.063322382093132,baseline SAPS II severity category,secondary severity context,1512511506
GSE57065,SIG002,SeptiCyte LAB,T24,SAPSII-High,14,-0.1405403710142918,0.2724594867402478,-0.6628215127704008,0.3438451667438694,baseline SAPS II severity category,secondary severity context,2141830503
GSE57065,SIG002,SeptiCyte LAB,T48,SAPSII-High,12,-0.5584808123265751,0.272510977920066,-1.099672996773298,-0.0640100072827599,baseline SAPS II severity category,secondary severity context,3130137728
GSE57065,SIG002,SeptiCyte LAB,Baseline,SAPSII-Low,14,0.3864184066926415,0.2598321807233685,-0.0975461768548675,0.8678532662426093,baseline SAPS II severity category,secondary severity context,325059557
GSE57065,SIG002,SeptiCyte LAB,T24,SAPSII-Low,14,-0.1619615200790563,0.2017415141828259,-0.5046124914576667,0.2224043708923293,baseline SAPS II severity category,secondary severity context,756487853
GSE57065,SIG002,SeptiCyte LAB,T48,SAPSII-Low,14,-0.8524556955951972,0.2403094644603144,-1.2829759456641552,-0.3844922382953185,baseline SAPS II severity category,secondary severity context,1690126808
GSE57065,SIG003,FAIM3:PLAC8,Baseline,SAPSII-High,14,-0.2043666232495609,0.2493362730539919,-0.6726232254246355,0.2403150683787438,baseline SAPS II severity category,secondary severity context,3749864859
