signature_id,time_window,broad_lineage,net_pooled_contribution,absolute_pooled_contribution,gene_count,absolute_share
SIG001,T24,BROAD_OR_UNRESOLVED,-0.0507534319418645,0.0514708658237558,4,0.1353716262542021
SIG001,T24,B_LYMPHOCYTE,-0.0410589709897782,0.0410589709897782,1,0.1079876855820258
SIG001,T24,DENDRITIC,-0.0861928710249696,0.0861928710249696,3,0.2266926917864973
SIG001,T24,GRANULOCYTE,-0.1805200709932695,0.2014963029540779,3,0.5299479963772745
SIG001,T48,BROAD_OR_UNRESOLVED,-0.1386824815215957,0.1386824815215957,4,0.167521108874241
SIG001,T48,B_LYMPHOCYTE,-0.1404081285987586,0.1404081285987586,1,0.1696055993500399
SIG001,T48,DENDRITIC,-0.1414095465374414,0.1414095465374414,3,0.1708152592991127
SIG001,T48,GRANULOCYTE,-0.4073506285570117,0.4073506285570117,3,0.4920580324766063
SIG002,T24,BROAD_OR_UNRESOLVED,-0.0370058316766844,0.0370058316766844,1,0.0534504500412734
SIG002,T24,DENDRITIC,-0.1471255523043766,0.1471255523043766,1,0.2125050735772149
SIG002,T24,GRANULOCYTE,-0.1998858709967752,0.1998858709967752,1,0.2887109754758205
SIG002,T24,MONOCYTE,0.3083217552289845,0.3083217552289845,1,0.4453335009056911
SIG002,T48,BROAD_OR_UNRESOLVED,-0.1196185796785434,0.1196185796785434,1,0.1165812852570624
SIG002,T48,DENDRITIC,-0.6124431761908649,0.6124431761908649,1,0.5968923290940551
SIG002,T48,GRANULOCYTE,-0.1399753225430799,0.1399753225430799,1,0.1364211400118409
SIG002,T48,MONOCYTE,0.154015940429976,0.154015940429976,1,0.1501052456370414
SIG003,T24,BROAD_OR_UNRESOLVED,0.0111934946019346,0.0111934946019346,1,0.0586232092750668
SIG003,T24,DENDRITIC,-0.1797461475697081,0.1797461475697081,1,0.9413767907249332
SIG003,T48,BROAD_OR_UNRESOLVED,-0.3593740371864152,0.3593740371864152,1,0.4009739021041001
SIG003,T48,DENDRITIC,-0.5368788992281726,0.5368788992281726,1,0.5990260978958999
SIG004,T24,BROAD_OR_UNRESOLVED,0.0351908077067799,0.2272074235472981,2,0.9163168403760836
SIG004,T24,DENDRITIC,-0.0207498479288492,0.0207498479288492,1,0.0836831596239163
SIG004,T48,BROAD_OR_UNRESOLVED,0.8063207335878453,0.8063207335878453,2,0.8857108179597982
SIG004,T48,DENDRITIC,-0.104044949248879,0.104044949248879,1,0.1142891820402018
SIG022,T24,BROAD_OR_UNRESOLVED,0.0157440114216937,0.0547853000242232,3,0.2654258488147549
SIG022,T24,GRANULOCYTE,0.0446794322261154,0.0446794322261154,1,0.2164645665522416
SIG022,T24,MONOCYTE,-0.1069405604853316,0.1069405604853316,3,0.5181095846330036
SIG022,T48,BROAD_OR_UNRESOLVED,0.0924784047086383,0.1503207498965911,3,0.3243048028067959
SIG022,T48,GRANULOCYTE,0.1287290207939474,0.1287290207939474,1,0.2777224018161964
SIG022,T48,MONOCYTE,-0.0916568246658384,0.1844671078619646,3,0.3979727953770076
SIG023,T24,BROAD_OR_UNRESOLVED,0.0895047577723762,0.0895047577723762,1,0.8637963966925685
SIG023,T24,GRANULOCYTE,-0.0141131296315135,0.0141131296315135,1,0.1362036033074315
SIG023,T48,BROAD_OR_UNRESOLVED,0.0399488767117554,0.0399488767117554,1,0.2461696186683314
SIG023,T48,GRANULOCYTE,-0.1223330365798243,0.1223330365798243,1,0.7538303813316686
SIG033,T24,BROAD_OR_UNRESOLVED,-0.2273609170232017,0.3067780747785242,4,0.7354560614137465
SIG033,T24,B_LYMPHOCYTE,0.0574167298279917,0.0574167298279917,1,0.1376483049156551
SIG033,T24,MONOCYTE,-0.0234594495548326,0.0234594495548326,1,0.0562406370956842
SIG033,T24,T_LYMPHOCYTE,0.0294720581690079,0.0294720581690079,1,0.0706549965749141
SIG033,T48,BROAD_OR_UNRESOLVED,-0.224880945905336,0.5083921634289238,4,0.7527372855001875
SIG033,T48,B_LYMPHOCYTE,0.120059719753742,0.120059719753742,1,0.177763219117715
SIG033,T48,MONOCYTE,-0.0457375607577239,0.0457375607577239,1,0.0677200983940466
SIG033,T48,T_LYMPHOCYTE,0.001201789125874,0.001201789125874,1,0.0017793969880507
SIG034,T24,BROAD_OR_UNRESOLVED,0.0277115497386683,0.0881380583039703,16,0.2377757505142556
SIG034,T24,DENDRITIC,-0.0063414261869301,0.0063414261869301,2,0.0171076762971999
SIG034,T24,GRANULOCYTE,-0.0553209692820687,0.1897091047009529,17,0.5117905433551471
SIG034,T24,MONOCYTE,0.0414738377245578,0.0537556988750016,3,0.145020231786137
SIG034,T24,T_LYMPHOCYTE,-0.0327329492601115,0.0327329492601115,4,0.0883057980472603
SIG034,T48,BROAD_OR_UNRESOLVED,0.0828074923023441,0.1795983014165597,16,0.2163747580180402
SIG034,T48,DENDRITIC,-0.0356065075536705,0.0356065075536705,2,0.0428976743934984
SIG034,T48,GRANULOCYTE,-0.009154052141348,0.4796943522840686,17,0.5779216650682403
SIG034,T48,MONOCYTE,0.0132197502499046,0.031763956465398,3,0.0382682817136172
SIG034,T48,T_LYMPHOCYTE,-0.1033703994135065,0.1033703994135065,4,0.1245376208066037
