analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,2,113,-0.2647642957127695,-0.849024446089765,0.6108008777000767,,,0.0,0.0,1.0,0.1766214798449014,0.426604821707243
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,2,113,-0.1159755021185424,-0.7325880959472656,0.6051867654953952,,,0.0,0.0,0.5,0.3213215435632575,0.5454225880387482
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,2,113,0.0030949084004147,-0.9591495481280454,0.959642004031636,,,0.0216285155057822,38.21573659886589,0.5,0.9870856794206052,0.9870856794206052
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,2,113,-0.1264971824632812,-0.2490835969895619,7.865025725467804e-05,,,0.0,0.0,1.0,0.0500307940999712,0.426604821707243
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,2,113,0.0767765431191289,-0.72789192766504,0.7924878376487116,,,0.0,0.0,1.0,0.5076234532522672,0.676831271003023
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,2,113,0.0977307287078123,-0.992258561123955,0.9947634160237584,,,0.0725939093072219,67.49077752350875,0.5,0.7395538302940008,0.845204377478858
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,2,113,-0.0423047018822103,-0.907674545004288,0.8915641402022825,,,0.0058213067003647,14.271887092982633,0.5,0.7769566781343487,0.8606289357795862
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,2,113,-0.2172285319190526,-0.99220612909028,0.9812572172698292,,,0.0521838933607387,59.87741477224989,0.5,0.4698607091653681,0.6481334083163338
INDEPENDENT_ONLY,SIG001,T24,T24,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,2,113,0.0050695212558969,-0.5112550305823225,0.5187051029281179,,,0.0,0.0,0.5,0.9282976615086282,0.9686584294003076
INDEPENDENT_ONLY,SIG001,T48,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,3,92,-0.2604390851111868,-0.8356055725999995,0.5871279484178673,-0.9999461906960022,0.9998437100897984,0.1068262432706485,74.65963420317236,0.6666666666666666,0.3466751152260287,0.5964368950509514
INDEPENDENT_ONLY,SIG001,T48,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,3,92,0.2408930948280676,0.0661155949475359,0.4013287974074152,-0.2769633885017717,0.6503091301449673,0.0,0.0,1.0,0.0276385157691644,0.2211081261533158
INDEPENDENT_ONLY,SIG001,T48,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,92,0.1468763328009408,-0.5094677039227292,0.695175870769284,-0.9971466369575958,0.9984201179284408,0.045366123521917,55.6304739264383,0.6666666666666666,0.4645422911722385,0.6689408992880235
INDEPENDENT_ONLY,SIG001,T48,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,3,92,0.2081424750002715,0.0083994505993343,0.3919129964249845,-0.3694172841386521,0.6697038597702725,0.0,0.0,1.0,0.0463692350529575,0.303507720346631
