dataset,signature_id,signature_name,contrast,endpoint,endpoint_definition,analysis_role,contrast_role,independence_status,favorable_group,adverse_group,favorable_n,adverse_n,patient_n,observation_n,interaction_beta_adverse_minus_favorable,interaction_se,ci95_lower,ci95_upper,p_value,mixedlm_converged,mixedlm_method,mixedlm_warning,primary_inference_method,primary_adjustment,paired_change_hc3_beta,paired_change_hc3_se,paired_change_hc3_ci95_lower,paired_change_hc3_ci95_upper,paired_change_hc3_p,primary_beta_adverse_minus_favorable,primary_se_hc3,primary_ci95_lower,primary_ci95_upper,primary_p_value,bootstrap_se,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_replicates,seed,ancova_adverse_beta,ancova_adverse_se_hc3,ancova_adverse_p_hc3,source_provenance,holm_adjusted_p_primary_four
GSE95233,SIG001,Sepsis MetaScore,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,0.6519654309046641,0.3270060658606805,0.0110453190915973,1.2928855427177308,0.0461803561873214,True,lbfgs,,paired-change contrast with HC3 covariance,none,0.6519654309046649,0.3675369926718855,-0.0683938377183924,1.3723246995277223,0.0760834921022486,0.6519654309046649,0.3675369926718855,-0.0683938377183924,1.3723246995277223,0.0760834921022486,0.3334121620171865,0.0137416077762465,1.290897679046277,2000,2035083326,0.6503642147898588,0.3592252323518952,0.0702239209936774,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.3043339684089947
GSE95233,SIG002,SeptiCyte LAB,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,0.269958808414353,0.4964776749880842,-0.7031195536904744,1.2430371705191805,0.5866148057103888,True,lbfgs,,paired-change contrast with HC3 covariance,none,0.2699588084143552,0.4942018669608191,-0.6986590519213054,1.238576668750016,0.5848926563443162,0.2699588084143552,0.4942018669608191,-0.6986590519213054,1.238576668750016,0.5848926563443162,0.4373134822623308,-0.5909371390195383,1.1221417975960504,2000,2881355373,0.18016061554774,0.4551254505516194,0.6922169757357493,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.9904883843441374
GSE95233,SIG003,FAIM3:PLAC8,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,0.3541710738445457,0.4426856040650425,-0.5134767665972957,1.2218189142863871,0.4236812313974208,True,lbfgs,,paired-change contrast with HC3 covariance,none,0.3541710738445461,0.5193187367241785,-0.663674946631682,1.372017094320774,0.4952441921720687,0.3541710738445461,0.5193187367241785,-0.663674946631682,1.372017094320774,0.4952441921720687,0.4539923462485959,-0.4401137409444233,1.3041088631797848,2000,605532830,0.4204908945517118,0.5804703094510902,0.468822100534729,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.9904883843441374
GSE95233,SIG004,sNIP,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,-0.5262424906878074,0.487324538317733,-1.4813810345731735,0.4288960531975589,0.2802043316157778,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,-0.5262424906878073,0.5035265233177192,-1.5131363416512045,0.46065136027559,0.295970401960405,-0.5262424906878073,0.5035265233177192,-1.5131363416512045,0.46065136027559,0.295970401960405,0.4498390488031507,-1.4494250751777409,0.3455163555746776,2000,2356821360,-0.2981884380738128,0.5165211923226803,0.5637358280735703,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.8879112058812151
GSE95233,SIG022,Bacterial/Viral MetaScore,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,-0.0591417893404323,0.2768385141504405,-0.6017353066088779,0.4834517279280131,0.8308334123290122,True,lbfgs,,paired-change contrast with HC3 covariance,none,-0.0591417893404322,0.3322981868196757,-0.7104342676349592,0.5921506889540947,0.8587401998209484,-0.0591417893404322,0.3322981868196757,-0.7104342676349592,0.5921506889540947,0.8587401998209484,0.2917469339893959,-0.6441352226352192,0.4909741301823443,2000,2798688726,0.0070692478883476,0.2949038316215556,0.9808754482069182,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG023,Herberg two-gene DRS,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,-0.0482706317464972,0.2920094978800566,-0.6205987307350336,0.524057467242039,0.8687039189510323,True,lbfgs,,paired-change contrast with HC3 covariance,none,-0.0482706317464973,0.3394838626943616,-0.7136467759599869,0.6171055124669922,0.8869312767861185,-0.0482706317464973,0.3394838626943616,-0.7136467759599869,0.6171055124669922,0.8869312767861185,0.3014247601215549,-0.6979147230315789,0.4979759035602389,2000,58610089,-0.0069001164179444,0.3615100113948731,0.9847717575808026,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG033,Lin seven-gene mortality score,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,0.1269270271765823,0.4285539585179777,-0.7130232969507262,0.9668773513038909,0.7670963356487326,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.1269270271765813,0.4962422254590415,-0.8456898623311455,1.0995439166843082,0.7981235333936583,0.1269270271765813,0.4962422254590415,-0.8456898623311455,1.0995439166843082,0.7981235333936583,0.4410547190785485,-0.7910821894977786,0.9199571520859264,2000,4195467442,0.3226944186853043,0.3839489928188971,0.4006495738634936,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG034,Severe-or-Mild score,Admission to D2,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,12,8,20,40,0.0279579262593416,0.343382398538863,-0.6450592078018093,0.7009750603204924,0.9351085663374404,True,lbfgs,,paired-change contrast with HC3 covariance,none,0.0279579262593407,0.4267152293369297,-0.8083885548957909,0.8643044074144725,0.9477608328569744,0.0279579262593407,0.4267152293369297,-0.8083885548957909,0.8643044074144725,0.9477608328569744,0.3839344412638859,-0.7514091867708081,0.7684707338374638,2000,4083596562,0.0348052257625613,0.4193515093721509,0.9338533400107644,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,
GSE95233,SIG001,Sepsis MetaScore,Admission to D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,22,9,31,62,1.2801720558545455,0.3554211946680449,0.5835593149629782,1.9767847967461136,0.0003159667353647,True,lbfgs,,paired-change contrast with HC3 covariance,none,1.2801720558545435,0.2969954854151479,0.698071600869863,1.8622725108392248,1.629527706959402e-05,1.2801720558545435,0.2969954854151479,0.698071600869863,1.8622725108392248,1.629527706959402e-05,0.2801777551447149,0.7147896736324221,1.8222007630707864,2000,1517237866,1.2964529245013507,0.3030211541746504,1.8822138324223383e-05,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,6.518110827837608e-05
GSE95233,SIG002,SeptiCyte LAB,Admission to D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,22,9,31,62,0.5488772572402355,0.4565978311738413,-0.3460380472795933,1.4437925617600644,0.2293239342250362,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,0.5488772572402381,0.378651880671011,-0.1932667915533017,1.2910213060337778,0.1471822616283795,0.5488772572402381,0.378651880671011,-0.1932667915533017,1.2910213060337778,0.1471822616283795,0.3498732891572879,-0.1678878658318803,1.224530000454111,2000,2254529280,0.4550577728451209,0.402665537379066,0.2584283882530925,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.1471822616283795
GSE95233,SIG003,FAIM3:PLAC8,Admission to D3,28-day survival,Day-28 survivor or non-survivor label deposited with GSE95233.,follow-up-day-stratified sensitivity,sensitivity,PRIMARY_INDEPENDENT,Survivor,Non-survivor,22,9,31,62,1.641948528919054,0.5034904142465668,0.6551254504346306,2.6287716074034777,0.0011096850307682,True,lbfgs,Random effects covariance is singular,paired-change contrast with HC3 covariance,none,1.641948528919054,0.4234850301206547,0.8119331218907105,2.471963935947397,0.0001056528146804,1.641948528919054,0.4234850301206547,0.8119331218907105,2.471963935947397,0.0001056528146804,0.384905424324815,0.8851466600775881,2.3763598617261956,2000,3549982639,1.36257749380753,0.4670431698779214,0.0035290041435746,GEO GSE95233; doi:10.1016/j.jinf.2018.11.012,0.0003169584440414
