run_accession	study_accession	sample_accession	experiment_accession	experiment_title	sample_title	instrument_platform	instrument_model	library_layout	library_strategy	fastq_ftp	fastq_md5	fastq_bytes
ERR16983774	PRJEB111201	SAMEA122114823	ERX16367311	Illumina NovaSeq X Plus sequencing	Healthy control 2 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/074/ERR16983774/ERR16983774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/074/ERR16983774/ERR16983774_2.fastq.gz	d1c416efecc23500913302dda7c98603;cefc96eeacf0c6229f99cb8ea08eefd6	2252373388;2202010242
ERR16983778	PRJEB111201	SAMEA122114827	ERX16367315	Illumina NovaSeq X Plus sequencing	Sepsis patient 0 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/078/ERR16983778/ERR16983778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/078/ERR16983778/ERR16983778_2.fastq.gz	d553db7d74353bb0b721879aeda1686b;834482da8cd3a8c37d3c2943e849d852	2856009003;2824263929
ERR16983781	PRJEB111201	SAMEA122114830	ERX16367318	Illumina NovaSeq X Plus sequencing	Sepsis patient 1 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/081/ERR16983781/ERR16983781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/081/ERR16983781/ERR16983781_2.fastq.gz	33115e3855f55d423e343fd77d199965;ae1fb472b511b2681c834f26c070b183	2505851118;2453898982
ERR16983784	PRJEB111201	SAMEA122114833	ERX16367321	Illumina NovaSeq X Plus sequencing	Sepsis patient 2 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/084/ERR16983784/ERR16983784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/084/ERR16983784/ERR16983784_2.fastq.gz	5f04292ef37558cd55dff14d4e2e2436;8640660af062f851437cb1a91ab7fe7a	2736149396;2698817531
ERR16983786	PRJEB111201	SAMEA122114835	ERX16367323	Illumina NovaSeq X Plus sequencing	Sepsis patient 3 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/086/ERR16983786/ERR16983786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/086/ERR16983786/ERR16983786_2.fastq.gz	d2fe40b8410d8d74aa472fca0fd666cf;12d81ca3c7877b1d55ddaf310b448a5f	2637984456;2577081211
ERR16983795	PRJEB111201	SAMEA122114844	ERX16367332	Illumina NovaSeq X Plus sequencing	Septic shock patient 1 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/095/ERR16983795/ERR16983795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/095/ERR16983795/ERR16983795_2.fastq.gz	c3880ca629006827fce0c514853251b7;3ac805fb073e4cc0b20844c1091f73d6	2795360992;2752035486
ERR16983772	PRJEB111201	SAMEA122114821	ERX16367309	Illumina NovaSeq X Plus sequencing	Healthy control 0 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/072/ERR16983772/ERR16983772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/072/ERR16983772/ERR16983772_2.fastq.gz	6adbb82c43f11073854a309da3bec18d;55df1c8cdb07eccb58f86394a9c5b81f	2623325250;2588183907
ERR16983773	PRJEB111201	SAMEA122114822	ERX16367310	Illumina NovaSeq X Plus sequencing	Healthy control 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/073/ERR16983773/ERR16983773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/073/ERR16983773/ERR16983773_2.fastq.gz	e3c0b47f0ec52fb82a633ba4d42dacb9;5399424d857fe1a5f79085d7b281dda2	2551375500;2504335259
ERR16983776	PRJEB111201	SAMEA122114825	ERX16367313	Illumina NovaSeq X Plus sequencing	Sepsis patient 0 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/076/ERR16983776/ERR16983776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/076/ERR16983776/ERR16983776_2.fastq.gz	730941aadfc82dfe89dcce273bbd8f16;d83b01cc4a6cc20e60686df939836997	2216358468;2194292981
ERR16983785	PRJEB111201	SAMEA122114834	ERX16367322	Illumina NovaSeq X Plus sequencing	Sepsis patient 3 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/085/ERR16983785/ERR16983785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/085/ERR16983785/ERR16983785_2.fastq.gz	ebe4c085289cb0eb2e3b8e6e2beb5644;9858ea8d4d2a55817610e67016443eb6	2677703956;2625036258
