signature_id,time_window,internal_time_window,dataset,analysis_role,paired_n,mean_delta_z,bootstrap_se,sampling_variance,ci95_lower,ci95_upper,primary_independent_eligible,primary_exclusion_reason
SIG001,T24,T1,GSE54514,PILOT,31,-0.4195946212790328,0.2225311472998268,0.04952011151857721,-0.8280913449123765,0.0186601756042589,True,
SIG001,T24,T1,GSE57065,PILOT,28,-0.4384751306639419,0.1493630567621554,0.022309322725334854,-0.7305600740014847,-0.1447634379536641,True,
SIG001,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,-0.3454618991432918,0.1698595880940423,0.02885227966747772,-0.6631220034270877,-0.005680105137354,True,
SIG001,T48,T2,GSE54514,PILOT,28,-0.902550268217218,0.236024322116567,0.05570748063058497,-1.3673314457460943,-0.4300825366812207,True,
SIG001,T48,T2,GSE57065,PILOT,26,-0.7282455402928125,0.1784156626731567,0.031832148687101644,-1.083694038382325,-0.3832781247335218,True,
SIG001,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,-1.068423878468503,0.1859197841864011,0.03456616615191796,-1.437008802409886,-0.6935165712923844,True,
SIG002,T24,T1,GSE54514,PILOT,31,-0.1512570034140688,0.1812175381731201,0.03283979614152625,-0.5107407100771288,0.1919806674645789,False,POSSIBLE_SAME_MARS_PROGRAM
SIG002,T24,T1,GSE57065,PILOT,28,-0.1512509455466734,0.1796864748017425,0.03228722922667724,-0.5074799055321123,0.1950891647755094,True,
SIG002,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,-0.1731381740958462,0.2273042643295423,0.051667228582394434,-0.6249813573265797,0.2595282375383203,True,
SIG002,T48,T2,GSE54514,PILOT,28,-0.0806972145994935,0.2264777117139058,0.05129215390316702,-0.5219378238739029,0.3698978101950628,False,POSSIBLE_SAME_MARS_PROGRAM
SIG002,T48,T2,GSE57065,PILOT,26,-0.78523960089802,0.2116785376477,0.04480780330066875,-1.212670560303215,-0.388707819744056,True,
SIG002,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,-0.877910548541263,0.2075104387210425,0.04306058217819953,-1.2643476294292677,-0.4670011339386883,True,
SIG003,T24,T1,GSE54514,PILOT,31,-0.4285675132032493,0.190814923545866,0.036410335047814685,-0.8011566866475534,-0.0632672649544905,False,POSSIBLE_SAME_MARS_PROGRAM
SIG003,T24,T1,GSE57065,PILOT,28,-0.2211678450795934,0.2064128410032426,0.042606260931029906,-0.5970924802146894,0.1980358625810884,True,
SIG003,T24,T1,GSE95233,PRESPECIFIED_NON_PILOT,20,-0.2255206330606594,0.2053752463281953,0.04217899180436689,-0.5930116462131438,0.2081004302148643,True,
SIG003,T48,T2,GSE54514,PILOT,28,-0.2660416779614452,0.2278278618797225,0.051905534648685914,-0.7042553849919353,0.169078811700719,False,POSSIBLE_SAME_MARS_PROGRAM
SIG003,T48,T2,GSE57065,PILOT,26,-0.8274343714045839,0.225692603586874,0.05093715131382186,-1.2677605881057032,-0.3980663009996579,True,
SIG003,T48,T2,GSE95233,PRESPECIFIED_NON_PILOT,31,-1.2010246142984091,0.2491232385373213,0.062062387979323085,-1.685086486864292,-0.7077078984957168,True,
