signature_id,time_window,mu_abs_error,tau2_abs_error,hk_se_abs_error
SIG001,T24,5.551115123125783e-17,0.0,9.020562075079397e-17
SIG001,T48,9.632739050857708e-11,4.161435279703696e-09,1.3943726728804506e-10
SIG002,T24,2.7755575615628914e-17,0.0,2.0816681711721685e-17
SIG002,T48,1.1102230246251565e-16,0.0,6.938893903907228e-17
SIG003,T24,2.7755575615628914e-17,0.0,6.245004513516506e-17
SIG003,T48,1.8007599855707213e-09,8.80748232483762e-10,5.333647828953403e-10
SIG004,T24,3.6850572593394304e-10,1.4209026143185977e-10,1.1057381399393051e-10
SIG004,T48,3.626557942837394e-10,3.786009769579657e-10,4.188537017224547e-11
SIG022,T24,1.1225465001984958e-12,2.949326546874964e-12,1.8297030557334892e-12
SIG022,T48,9.476130991004084e-11,9.84488213173762e-10,5.344397147055702e-11
SIG023,T24,3.7056849255812097e-10,3.527744762976681e-09,2.317194214285223e-10
SIG023,T48,2.6870144997914736e-11,2.2549577829988898e-10,2.6547514186958665e-12
SIG033,T24,8.326672684688674e-17,0.0,6.938893903907228e-18
SIG033,T48,1.3211653993039363e-13,3.8646256333985107e-13,7.124856260531942e-14
SIG034,T24,1.3877787807814457e-17,0.0,0.0
SIG034,T48,2.480050054209926e-10,4.786758038555217e-10,2.1131651983807842e-11
